ds,yhat,yhat_lower,yhat_upper
2024-01-31,1054.8636000000001,813.224957754558,1297.5883321877434
2024-02-29,861.1790186666667,631.7492524942659,1091.5558790279315
2024-03-31,654.1368802772874,408.1395582180423,878.30372277165
2024-04-30,453.77352067156943,226.1575967848898,690.429359821474
2024-05-31,246.73138241232746,6.50260545571024,502.8136574740998
2024-06-30,46.368022806609524,-192.3319229359078,280.01467988027633
2024-07-31,-160.6741154526323,-385.7414702018423,73.72775243745848
2024-08-31,-367.71625371187423,-593.1062182484382,-127.91479676967047
2024-09-30,-568.0796133175922,-823.9750847237276,-363.81311808427495
2024-10-31,-775.1217515768341,-993.4026284358423,-543.4686360848475
